,Short_Names,ABBY,BART,BLAN,CPER,GRSM,HARV,KONA,MLBS,NIWO,NOGP,ONAQ,SERC,STEI,STER,UNDE,WOOD
1,impunctatus,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
2,cribricollis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,goryi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,neglecta,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,impunctatus,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,melanarius,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,impunctatus,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,impunctatus,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,goryi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,melanarius,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,impunctatus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,impunctatus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,impunctatus,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,goryi,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,impunctatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,impunctatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
